272, -184, 18788, -82, 248
224, -212, 18784, -85, 247
240, -204, 18836, -88, 246
288, -152, 18728, -85, 253
228, -208, 18752, -88, 254
228, -208, 18752, -88, 254
308, -180, 18712, -88, 250
288, -268, 18788, -91, 252
268, -152, 18756, -86, 250
272, -160, 18896, -87, 253
308, -200, 18760, -88, 245
264, -172, 18764, -87, 240
236, -220, 18764, -85, 245
256, -164, 18756, -82, 246
256, -164, 18756, -82, 246
272, -240, 18768, -87, 248
280, -204, 18752, -86, 252
304, -188, 18832, -82, 245
304, -180, 18740, -88, 251
280, -164, 18824, -91, 245
292, -196, 18768, -92, 251
300, -212, 18796, -93, 257
308, -120, 18756, -85, 248
308, -120, 18756, -85, 248
204, -132, 18696, -79, 249
284, -156, 18700, -83, 241
260, -148, 18736, -90, 248
236, -220, 18728, -86, 257
360, -144, 18824, -79, 259
304, -124, 18780, -77, 247
356, -208, 18716, -94, 237
320, -256, 18820, -104, 228
860, 48, 18740, -83, 254
860, 48, 18740, -83, 254
3336, 1444, 18708, -80, 244
316, -1216, 21492, 93, -55
-2024, 616, 20080, 1383, -2909
-572, -2292, 20856, 2766, -8058
1404, -2688, 20572, 3693, -14338
132, 444, 15620, 2670, -18076
5788, -820, 22528, 1526, -20559
5704, -1732, 17400, 558, -23663
3672, 4024, 9496, -1053, -26941
13360, -1272, 20316, -731, -30872
12668, 3244, 8856, -706, -31800
18064, -2512, 7556, -3213, -24532
15116, 5016, 7040, -5375, -14522
15576, 296, 6836, -2877, -8514
8816, -3868, 5676, -882, -8308
15056, 948, 6108, -2325, -6597
17524, 132, 8420, -1632, -4892
18948, -1524, 8824, 34, -537
19772, 2184, 13520, 1392, 5760
18708, -1016, 8504, 1988, 14426
18596, 944, 16044, 1619, 23430
15608, -868, 11980, 2956, 32521
11112, 1856, 12452, 6564, 32767
9144, -1764, 14516, 9109, 32767
7368, 2216, 11420, 7976, 32767
3592, -2264, 15072, 3959, 32767
-2328, 4188, 14316, 533, 32767
-4796, -160, 13148, -3663, 30445
-6668, 3496, 15276, -6554, 19939
-6940, 3416, 15328, -6634, 8617
-5064, 36, 17636, -5211, -1789
-2896, -12, 23336, -3878, -7657
-2156, 828, 22864, -3485, -7859
-1564, 308, 22000, -1933, -4126
-1968, -452, 18572, -3, 254
-2624, 952, 16472, 356, 1655
-1804, 2208, 17636, 506, 212
-1584, 2072, 18200, 798, -1005
-1012, 1612, 19372, 698, -949
-1616, 1124, 18688, -146, -48
-2008, 1008, 18836, -644, 34
-2212, 696, 19056, -352, -1011
-2124, 444, 18988, 159, -2238
-1852, 456, 19284, 38, -3069
-2272, 888, 18700, 150, -3815
-2500, 1196, 17776, 487, -5449
-3252, 1252, 14296, 863, -9096
-2452, 648, 12280, 1250, -17291
2916, 888, 11972, 1095, -29687
8008, -428, 13196, 958, -32768
16076, 456, 18348, -260, -32768
20040, 3348, 10192, -1480, -32768
22780, 904, 12128, -2551, -27388
